"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","import_low","import_upp","MSM_pop","pop2022","cum_icni_prop"
"151","ISR","Israel","Asia","Western Asia",2022-04-18,0,0,0,0,2022-05-16,NA,NA,92190.7518,9038.309,0
"152","ITA","Italy","Europe","Southern Europe",2022-04-18,0,0,0,0,2022-05-09,NA,NA,426434.30034556,59037.474,0
"153","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-03,NA,NA,42400,2827.377,0
"154","JOR","Jordan","Asia","Western Asia",2022-04-18,0,0,0,0,2022-09-02,2022-08-31,2022-09-05,115115.8638,11285.869,0
"155","JPN","Japan","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-07-15,NA,NA,7e+05,123951.692,0
"156","KOR","Republic of Korea","Asia","Eastern Asia",2022-04-18,0,0,0,0,2022-06-19,NA,NA,520231.319373243,51815.81,0
"157","LBN","Lebanon","Asia","Western Asia",2022-04-18,0,0,0,0,2022-06-06,NA,NA,16500,5489.739,0
"158","LTU","Lithuania","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-07-26,NA,NA,28866.5134903663,2750.055,0
"159","LUX","Luxembourg","Europe","Western Europe",2022-04-18,0,0,0,0,2022-06-05,NA,NA,5885.0710259828,647.599,0
"160","LVA","Latvia","Europe","Northern Europe",2022-04-18,0,0,0,0,2022-05-24,NA,NA,19425.7358698135,1850.651,0
"161","MAF","Saint Martin","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-07-22,NA,NA,503.836479112461,31.791,0
"162","MAR","Morocco","Africa","Northern Africa",2022-04-18,0,0,0,0,2022-05-26,NA,NA,42000,37457.971,0
"163","MCO","Monaco","Europe","Western Europe",2022-04-18,0,0,0,0,2022-07-15,2022-07-13,2022-07-18,331.412888603235,36.469,0
"164","MDA","Republic of Moldova","Europe","Eastern Europe",2022-04-18,0,0,0,0,2022-08-06,NA,NA,14600,3272.996,0
"165","MEX","Mexico","Americas","Latin America and the Caribbean",2022-04-18,0,0,0,0,2022-05-20,NA,NA,1200000,127504.125,0
