,SAR,Infections,Reff_1,Reff_2,Excess,n
210,0.663738478,0.017009009,0.150661749,0.301323498,2.081412621,20900
211,0.666757408,0.017081366,0.149979586,0.299959172,2.073580808,21000
212,0.669778999,0.017153667,0.149302979,0.298605959,2.065807877,21100
213,0.672803257,0.017225913,0.148631861,0.297263721,2.058093131,21200
214,0.67583019,0.017298103,0.147966163,0.295932326,2.050435884,21300
215,0.678859804,0.017370239,0.14730582,0.29461164,2.042835459,21400
216,0.681892105,0.017442321,0.146650767,0.293301533,2.035291192,21500
217,0.684927102,0.017514347,0.146000939,0.292001878,2.02780243,21600
218,0.6879648,0.01758632,0.145356274,0.290712548,2.020368529,21700
219,0.691005205,0.017658238,0.14471671,0.28943342,2.012988857,21800
220,0.694048326,0.017730103,0.144082186,0.288164372,2.00566279,21900
221,0.697094167,0.017801914,0.143452642,0.286905284,1.998389714,22000
222,0.700142736,0.017873671,0.142828019,0.285656038,1.991169027,22100
223,0.703194038,0.017945375,0.142208259,0.284416518,1.984000135,22200
224,0.70624808,0.018017026,0.141593305,0.283186611,1.976882452,22300
225,0.709304868,0.018088624,0.140983101,0.281966202,1.969815403,22400
226,0.712364409,0.01816017,0.140377592,0.280755183,1.96279842,22500
227,0.715426708,0.018231663,0.139776722,0.279553444,1.955830947,22600
228,0.718491771,0.018303103,0.139180439,0.278360878,1.948912432,22700
229,0.721559605,0.018374492,0.13858869,0.277177379,1.942042335,22800
230,0.724630214,0.018445828,0.138001422,0.276002844,1.935220123,22900
231,0.727703607,0.018517112,0.137418585,0.27483717,1.928445271,23000
232,0.730779787,0.018588345,0.136840129,0.273680257,1.921717262,23100
233,0.73385876,0.018659527,0.136266003,0.272532006,1.915035587,23200
234,0.736940534,0.018730657,0.135696159,0.271392318,1.908399743,23300
235,0.740025112,0.018801736,0.135130549,0.270261099,1.901809237,23400
236,0.743112501,0.018872765,0.134569126,0.269138253,1.895263582,23500
237,0.746202706,0.018943742,0.134011843,0.268023686,1.888762298,23600
238,0.749295733,0.019014669,0.133458654,0.266917308,1.882304912,23700
239,0.752391587,0.019085546,0.132909514,0.265819027,1.875890959,23800
240,0.755490274,0.019156372,0.132364378,0.264728755,1.86951998,23900
241,0.758591799,0.019227148,0.131823202,0.263646404,1.863191522,24000
242,0.761696167,0.019297875,0.131285944,0.262571887,1.85690514,24100
243,0.764803384,0.019368551,0.13075256,0.261505119,1.850660394,24200
244,0.767913455,0.019439178,0.130223008,0.260446016,1.844456851,24300
245,0.771026384,0.019509756,0.129697248,0.259394495,1.838294084,24400
246,0.774142178,0.019580284,0.129175238,0.258350476,1.832171673,24500
247,0.777260841,0.019650764,0.128656938,0.257313876,1.826089203,24600
248,0.780382379,0.019721194,0.128142309,0.256284618,1.820046264,24700
249,0.783506796,0.019791576,0.127631312,0.255262623,1.814042454,24800
250,0.786634097,0.019861909,0.127123907,0.254247815,1.808077375,24900
251,0.789764287,0.019932194,0.126620058,0.253240116,1.802150635,25000
252,0.792897372,0.02000243,0.126119727,0.252239454,1.796261847,25100
253,0.796033356,0.020072619,0.125622877,0.251245753,1.79041063,25200
254,0.799172243,0.020142759,0.125129471,0.250258942,1.784596609,25300
255,0.80231404,0.020212851,0.124639474,0.249278948,1.778819411,25400
256,0.80545875,0.020282896,0.124152851,0.248305702,1.773078672,25500
257,0.808606378,0.020352894,0.123669566,0.247339132,1.767374031,25600
258,0.811756929,0.020422844,0.123189586,0.246379172,1.761705132,25700
259,0.814910407,0.020492746,0.122712876,0.245425753,1.756071624,25800
260,0.818066818,0.020562602,0.122239404,0.244478807,1.750473161,25900
261,0.821226165,0.020632411,0.121769135,0.243538271,1.7449094,26000
262,0.824388454,0.020702173,0.121302039,0.242604077,1.739380006,26100
263,0.827553688,0.020771888,0.120838081,0.241676163,1.733884644,26200
264,0.830721873,0.020841557,0.120377232,0.240754465,1.728422988,26300
