"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"52","IDN","Indonesia","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-08-19,754300,275501.339,0
"53","IRN","Iran","Asia","Southern Asia",2022-05-01,0,0,0,0,2022-08-16,313924.554014187,88550.57,0
"54","IRL","Ireland","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-27,86500,5023.109,0
"55","ISR","Israel","Asia","Western Asia",2022-05-01,0,0,0,0,2022-05-21,92190.7518,9038.309,0
"56","ITA","Italy","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-19,426434.30034556,59037.474,0
"57","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-06,42400,2827.377,0
"58","JPN","Japan","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-07-25,7e+05,123951.692,0
"59","JOR","Jordan","Asia","Western Asia",2022-05-01,0,0,0,0,2022-09-08,115115.8638,11285.869,0
"60","LVA","Latvia","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-06-03,19425.7358698135,1850.651,0
"61","LBN","Lebanon","Asia","Western Asia",2022-05-01,0,0,0,0,2022-06-20,16500,5489.739,0
"62","LBR","Liberia","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-07-23,74600,5302.681,0
"63","LTU","Lithuania","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-08-03,28866.5134903663,2750.055,0
"64","LUX","Luxembourg","Europe","Western Europe",2022-05-01,0,0,0,0,2022-06-16,5885.0710259828,647.599,0
"65","MLT","Malta","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-28,3851.9846274941,533.286,0
"66","MTQ","Martinique","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-15,12384.9859,367.507,0
"67","MEX","Mexico","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-05-28,1200000,127504.125,0
"68","MDA","Moldova","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-08-08,14600,3272.996,0
"69","MCO","Monaco","Europe","Western Europe",2022-05-01,0,0,0,0,2022-07-21,331.412888603235,36.469,0
"70","MNE","Montenegro","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-08-01,4529.48366200923,627.082,0
"71","MAR","Morocco","Africa","Northern Africa",2022-05-01,0,0,0,0,2022-06-02,42000,37457.971,0
"72","NLD","Netherlands","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-20,230000,17564.014,0
"73","NCL","New Caledonia","Oceania","Melanesia",2022-05-01,0,0,0,0,2022-07-12,4726.185,289.95,0
"74","NZL","New Zealand","Oceania","Australia and New Zealand",2022-05-01,0,0,0,0,2022-07-09,37500,5185.288,0
"75","NGA","Nigeria","Africa","Sub-Saharan Africa",2022-05-01,0,15,0.357142857142857,10.7142857142857,2022-01-31,240000,218541.212,4.46428571428571e-05
"76","NOR","Norway","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-31,57042.4383237622,5434.319,0
"77","PAN","Panama","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-05,29600,4408.581,0
"78","PRY","Paraguay","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-25,27700,6780.744,0
"79","PER","Peru","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-26,260000,34049.588,0
"80","PHL","Philippines","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-07-28,678100,115559.009,0
"81","POL","Poland","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-06-10,840985.7595,39857.145,0
"82","PRT","Portugal","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-17,74187.6105711891,10270.865,0
"83","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-29,109606.1159,3252.407,0
"84","QAT","Qatar","Asia","Western Asia",2022-05-01,0,0,0,0,2022-07-20,27490.2444,2695.122,0
"85","COG","Republic of Congo","Africa","Sub-Saharan Africa",2022-05-01,0,2,0,2,2022-04-12,1300,5970.424,0.00153846153846154
"86","ROU","Romania","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-06-13,10500,19659.267,0
"87","RUS","Russia","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-07-12,1532011.64928064,144713.314,0
"88","MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-01,503.836479112461,31.791,0
"89","SAU","Saudi Arabia","Asia","Western Asia",2022-05-01,0,0,0,0,2022-07-14,371369.964,36408.82,0
"90","SRB","Serbia","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-17,40000,7221.365,0
"91","SGP","Singapore","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-06-20,97403.7307,5975.689,0
"92","SVK","Slovakia","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-07-07,119076.8583,5643.453,0
