"","iso_code","location","region","sub_region","date","new_cases","total_cases","MA_new_cases","MA_total_cases","date_import","MSM_pop","pop2022","cum_icni_prop"
"79","PER","Peru","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-28,260000,34049.588,0
"80","PHL","Philippines","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-07-29,678100,115559.009,0
"81","POL","Poland","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-06-13,840985.7595,39857.145,0
"82","PRT","Portugal","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-17,74187.6105711891,10270.865,0
"83","PRI","Puerto Rico","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-01,109606.1159,3252.407,0
"84","QAT","Qatar","Asia","Western Asia",2022-05-01,0,0,0,0,2022-07-21,27490.2444,2695.122,0
"85","ROU","Romania","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-06-14,10500,19659.267,0
"86","RUS","Russia","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-07-12,1532011.64928064,144713.314,0
"87","MAF","Saint Martin (French part)","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-08-04,503.836479112461,31.791,0
"88","SAU","Saudi Arabia","Asia","Western Asia",2022-05-01,0,0,0,0,2022-07-14,371369.964,36408.82,0
"89","SRB","Serbia","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-06-17,40000,7221.365,0
"90","SGP","Singapore","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-06-21,97403.7307,5975.689,0
"91","SVK","Slovakia","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-07-07,119076.8583,5643.453,0
"92","SVN","Slovenia","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-24,15311.8711173472,2119.844,0
"93","ZAF","South Africa","Africa","Sub-Saharan Africa",2022-05-01,0,0,0,0,2022-06-23,309700,59893.885,0
"94","KOR","South Korea","Asia","Eastern Asia",2022-05-01,0,0,0,0,2022-06-22,520231.319373243,51815.81,0
"95","ESP","Spain","Europe","Southern Europe",2022-05-01,0,0,0,0,2022-05-18,890200,47558.63,0
"96","SDN","Sudan","Africa","Northern Africa",2022-05-01,0,0,0,0,2022-08-01,132000,46874.204,0
"97","SWE","Sweden","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-18,1e+05,10549.347,0
"98","CHE","Switzerland","Europe","Western Europe",2022-05-01,0,0,0,0,2022-05-21,80000,8740.472,0
"99","THA","Thailand","Asia","South-eastern Asia",2022-05-01,0,0,0,0,2022-07-21,527900,71697.03,0
"100","TUR","Turkey","Asia","Western Asia",2022-05-01,0,0,0,0,2022-06-30,870480.6582,85341.241,0
"101","UKR","Ukraine","Europe","Eastern Europe",2022-05-01,0,0,0,0,2022-09-15,179400,39701.739,0
"102","ARE","United Arab Emirates","Asia","Western Asia",2022-05-01,0,0,0,0,2022-05-24,96299.5158,9441.129,0
"103","GBR","United Kingdom","Europe","Northern Europe",2022-05-01,0,0,0,0,2022-05-07,708621.322760554,67508.936,0
"104","USA","United States","Americas","Northern America",2022-05-01,0,0,0,0,2022-06-03,4500000,338289.857,0
"105","URY","Uruguay","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-07-31,28600,3422.794,0
"106","VEN","Venezuela","Americas","Latin America and the Caribbean",2022-05-01,0,0,0,0,2022-06-14,210800,28301.696,0
"107","AND","Andorra","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-07-25,576.577710468845,79.824,0
"108","ARG","Argentina","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-03,205600,45510.318,0
"109","ABW","Aruba","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-21,3587.1965,106.445,0
"110","AUS","Australia","Oceania","Australia and New Zealand",2022-05-02,0,0,0,0,2022-05-20,263500,26177.413,0
"111","AUT","Austria","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-23,81238.97811776,8939.617,0
"112","BHS","Bahamas","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-27,2800,409.984,0
"113","BHR","Bahrain","Asia","Western Asia",2022-05-02,0,0,0,0,2022-09-16,15016.7766,1472.233,0
"114","BRB","Barbados","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-19,2600,281.635,0
"115","BEL","Belgium","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-19,105923.535897807,11655.93,0
"116","BEN","Benin","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-15,5800,13352.864,0
"117","BMU","Bermuda","Americas","Northern America",2022-05-02,0,0,0,0,2022-07-23,718.819322375309,64.184,0
"118","BOL","Bolivia","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-03,35500,12224.11,0
"119","BIH","Bosnia and Herzegovina","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-07-14,6900,3233.526,0
"120","BRA","Brazil","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-10,2e+06,215313.498,0
"121","BGR","Bulgaria","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-06-23,57800,6781.953,0
"122","CMR","Cameroon","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-13,7000,27914.536,0
"123","CAN","Canada","Americas","Northern America",2022-05-02,0,0,0,0,2022-06-03,349800,38454.327,0
"124","CAF","Central African Republic","Africa","Sub-Saharan Africa",2022-05-02,0,2,0,0,2022-05-01,3000,5579.144,0
"125","CHL","Chile","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-18,122600,19603.733,0
"126","CHN","China","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-06-24,23241963.5931,1425887.337,0
"127","COL","Colombia","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-25,356700,51874.024,0
"128","COG","Congo","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-05-21,1300,5970.424,0
"129","CRI","Costa Rica","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-21,10100,5180.829,0
"130","HRV","Croatia","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-24,29500,4030.358,0
"131","CUB","Cuba","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-23,279200,11212.191,0
"132","CUW","Curacao","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-18,3029.62765740541,191.163,0
"133","CYP","Cyprus","Asia","Western Asia",2022-05-02,0,0,0,0,2022-08-03,12765.1776,1251.488,0
"134","CZE","Czechia","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-05-24,111094.883774052,10493.986,0
"135","COD","Democratic Republic of Congo","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-13,194900,99010.212,0
"136","DNK","Denmark","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-23,50000,5882.261,0
"137","DOM","Dominican Republic","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-06,142000,11228.821,0
"138","ECU","Ecuador","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-06-14,89400,18001,0
"139","EGY","Egypt","Africa","Northern Africa",2022-05-02,0,0,0,0,2022-09-27,64300,110990.103,0
"140","SLV","El Salvador","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-09-01,54100,6336.392,0
"141","EST","Estonia","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-06-28,9000,1326.062,0
"142","FIN","Finland","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-20,58159.5605503088,5540.745,0
"143","FRA","France","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-19,330000,64626.628,0
"144","GEO","Georgia","Asia","Western Asia",2022-05-02,0,0,0,0,2022-06-15,18500,3744.385,0
"145","DEU","Germany","Europe","Western Europe",2022-05-02,0,0,0,0,2022-05-20,750000,83369.843,0
"146","GHA","Ghana","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-06-13,54800,33475.87,0
"147","GIB","Gibraltar","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-02,235.82739112419,32.649,0
"148","GRC","Greece","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-06-09,94000,10384.971,0
"149","GRL","Greenland","Americas","Northern America",2022-05-02,0,0,0,0,2022-08-10,632.382709978253,56.466,0
"150","GLP","Guadeloupe","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-05,13336.8424,395.752,0
"151","GUM","Guam","Oceania","Micronesia",2022-05-02,0,0,0,0,2022-09-12,2799.9162,171.774,0
"152","GTM","Guatemala","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-04,116500,17843.908,0
"153","GUY","Guyana","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-24,3300,808.726,0
"154","HND","Honduras","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-08-14,40900,10432.86,0
"155","HUN","Hungary","Europe","Eastern Europe",2022-05-02,0,0,0,0,2022-05-31,210310.1988,9967.308,0
"156","ISL","Iceland","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-06-09,3914.21044817071,372.899,0
"157","IND","India","Asia","Southern Asia",2022-05-02,0,0,0,0,2022-07-14,238200,1417173.173,0
"158","IDN","Indonesia","Asia","South-eastern Asia",2022-05-02,0,0,0,0,2022-08-22,754300,275501.339,0
"159","IRN","Iran","Asia","Southern Asia",2022-05-02,0,0,0,0,2022-08-18,313924.554014187,88550.57,0
"160","IRL","Ireland","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-05-16,86500,5023.109,0
"161","ISR","Israel","Asia","Western Asia",2022-05-02,0,0,0,0,2022-05-21,92190.7518,9038.309,0
"162","ITA","Italy","Europe","Southern Europe",2022-05-02,0,0,0,0,2022-05-19,426434.30034556,59037.474,0
"163","JAM","Jamaica","Americas","Latin America and the Caribbean",2022-05-02,0,0,0,0,2022-07-08,42400,2827.377,0
"164","JPN","Japan","Asia","Eastern Asia",2022-05-02,0,0,0,0,2022-07-25,7e+05,123951.692,0
"165","JOR","Jordan","Asia","Western Asia",2022-05-02,0,0,0,0,2022-09-08,115115.8638,11285.869,0
"166","LVA","Latvia","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-06-03,19425.7358698135,1850.651,0
"167","LBN","Lebanon","Asia","Western Asia",2022-05-02,0,0,0,0,2022-06-20,16500,5489.739,0
"168","LBR","Liberia","Africa","Sub-Saharan Africa",2022-05-02,0,0,0,0,2022-08-01,74600,5302.681,0
"169","LTU","Lithuania","Europe","Northern Europe",2022-05-02,0,0,0,0,2022-08-04,28866.5134903663,2750.055,0
"170","LUX","Luxembourg","Europe","Western Europe",2022-05-02,0,0,0,0,2022-06-16,5885.0710259828,647.599,0
