,SAR,Infections,Reff_1,Reff_2,n
1333,5.545678846,0.064574234,0.018032058,0.036064115,133200
1334,5.551767734,0.064613225,0.018012281,0.036024562,133300
1335,5.557860258,0.064652207,0.017992536,0.035985072,133400
1336,5.563956421,0.064691182,0.017972822,0.035945645,133500
1337,5.570056224,0.064730148,0.01795314,0.03590628,133600
1338,5.576159668,0.064769106,0.017933489,0.035866979,133700
1339,5.582266755,0.064808057,0.01791387,0.03582774,133800
1340,5.588377485,0.064846999,0.017894282,0.035788563,133900
1341,5.594491862,0.064885933,0.017874724,0.035749449,134000
1342,5.600609885,0.064924859,0.017855198,0.035710397,134100
1343,5.606731557,0.064963778,0.017835703,0.035671406,134200
1344,5.612856879,0.065002688,0.017816239,0.035632478,134300
1345,5.618985852,0.06504159,0.017796806,0.035593612,134400
1346,5.625118478,0.065080484,0.017777403,0.035554807,134500
1347,5.631254759,0.06511937,0.017758032,0.035516063,134600
1348,5.637394695,0.065158249,0.017738691,0.035477381,134700
1349,5.643538289,0.065197119,0.01771938,0.03543876,134800
1350,5.649685541,0.065235981,0.0177001,0.0354002,134900
1351,5.655836454,0.065274835,0.017680851,0.035361701,135000
1352,5.661991029,0.065313682,0.017661632,0.035323263,135100
1353,5.668149266,0.06535252,0.017642443,0.035284886,135200
1354,5.674311169,0.06539135,0.017623284,0.035246569,135300
1355,5.680476737,0.065430173,0.017604156,0.035208312,135400
1356,5.686645973,0.065468987,0.017585058,0.035170116,135500
1357,5.692818878,0.065507794,0.01756599,0.03513198,135600
1358,5.698995454,0.065546592,0.017546952,0.035093904,135700
1359,5.705175701,0.065585383,0.017527944,0.035055888,135800
1360,5.711359622,0.065624165,0.017508966,0.035017931,135900
1361,5.717547219,0.06566294,0.017490017,0.034980035,136000
1362,5.723738491,0.065701707,0.017471099,0.034942197,136100
1363,5.729933441,0.065740466,0.01745221,0.034904419,136200
1364,5.736132071,0.065779217,0.01743335,0.034866701,136300
1365,5.742334382,0.06581796,0.017414521,0.034829041,136400
1366,5.748540375,0.065856696,0.01739572,0.03479144,136500
1367,5.754750051,0.065895423,0.017376949,0.034753899,136600
1368,5.760963414,0.065934143,0.017358208,0.034716416,136700
1369,5.767180462,0.065972854,0.017339496,0.034678991,136800
1370,5.773401199,0.066011558,0.017320813,0.034641625,136900
1371,5.779625626,0.066050254,0.017302159,0.034604317,137000
1372,5.785853744,0.066088942,0.017283534,0.034567068,137100
1373,5.792085555,0.066127622,0.017264938,0.034529877,137200
1374,5.798321059,0.066166294,0.017246372,0.034492743,137300
1375,5.80456026,0.066204959,0.017227834,0.034455668,137400
1376,5.810803157,0.066243616,0.017209325,0.03441865,137500
1377,5.817049753,0.066282264,0.017190845,0.03438169,137600
1378,5.82330005,0.066320905,0.017172394,0.034344787,137700
1379,5.829554047,0.066359539,0.017153971,0.034307942,137800
1380,5.835811748,0.066398164,0.017135577,0.034271153,137900
1381,5.842073154,0.066436781,0.017117211,0.034234422,138000
1382,5.848338265,0.066475391,0.017098874,0.034197748,138100
1383,5.854607084,0.066513993,0.017080566,0.034161131,138200
1384,5.860879612,0.066552587,0.017062285,0.034124571,138300
1385,5.86715585,0.066591174,0.017044033,0.034088067,138400
1386,5.8734358,0.066629752,0.01702581,0.034051619,138500
1387,5.879719464,0.066668323,0.017007614,0.034015228,138600
1388,5.886006842,0.066706886,0.016989447,0.033978894,138700
1389,5.892297937,0.066745441,0.016971307,0.033942615,138800
1390,5.89859275,0.066783989,0.016953196,0.033906392,138900
1391,5.904891283,0.066822529,0.016935113,0.033870226,139000
1392,5.911193536,0.066861061,0.016917057,0.033834115,139100
1393,5.917499512,0.066899585,0.01689903,0.033798059,139200
1394,5.923809211,0.066938101,0.01688103,0.03376206,139300
1395,5.930122636,0.06697661,0.016863058,0.033726115,139400
1396,5.936439787,0.067015111,0.016845113,0.033690226,139500
1397,5.942760667,0.067053605,0.016827196,0.033654392,139600
1398,5.949085277,0.06709209,0.016809307,0.033618614,139700
1399,5.955413618,0.067130568,0.016791445,0.03358289,139800
1400,5.961745692,0.067169038,0.01677361,0.033547221,139900
1401,5.968081501,0.067207501,0.016755803,0.033511607,140000
1402,5.974421045,0.067245956,0.016738024,0.033476047,140100
1403,5.980764326,0.067284403,0.016720271,0.033440542,140200
1404,5.987111346,0.067322842,0.016702546,0.033405091,140300
1405,5.993462107,0.067361274,0.016684847,0.033369695,140400
1406,5.999816609,0.067399698,0.016667176,0.033334352,140500
1407,6.006174854,0.067438114,0.016649532,0.033299064,140600
1408,6.012536845,0.067476523,0.016631915,0.033263829,140700
1409,6.018902581,0.067514924,0.016614324,0.033228649,140800
1410,6.025272066,0.067553317,0.016596761,0.033193522,140900
1411,6.031645299,0.067591703,0.016579224,0.033158448,141000
1412,6.038022284,0.067630081,0.016561714,0.033123429,141100
1413,6.04440302,0.067668452,0.016544231,0.033088462,141200
1414,6.050787511,0.067706814,0.016526774,0.033053549,141300
1415,6.057175757,0.06774517,0.016509344,0.033018689,141400
1416,6.063567759,0.067783517,0.016491941,0.032983881,141500
1417,6.06996352,0.067821857,0.016474564,0.032949127,141600
1418,6.07636304,0.067860189,0.016457213,0.032914426,141700
1419,6.082766322,0.067898514,0.016439888,0.032879777,141800
1420,6.089173367,0.067936831,0.01642259,0.032845181,141900
1421,6.095584176,0.067975141,0.016405319,0.032810637,142000
1422,6.101998751,0.068013443,0.016388073,0.032776146,142100
1423,6.108417093,0.068051737,0.016370853,0.032741707,142200
1424,6.114839204,0.068090024,0.01635366,0.03270732,142300
1425,6.121265085,0.068128303,0.016336492,0.032672985,142400
1426,6.127694738,0.068166575,0.016319351,0.032638702,142500
1427,6.134128165,0.068204839,0.016302235,0.03260447,142600
1428,6.140565366,0.068243095,0.016285145,0.032570291,142700
1429,6.147006344,0.068281344,0.016268081,0.032536163,142800
1430,6.153451099,0.068319585,0.016251043,0.032502087,142900
1431,6.159899634,0.068357819,0.016234031,0.032468061,143000
1432,6.16635195,0.068396045,0.016217044,0.032434088,143100
1433,6.172808048,0.068434264,0.016200083,0.032400165,143200
1434,6.17926793,0.068472475,0.016183147,0.032366294,143300
1435,6.185731597,0.068510679,0.016166237,0.032332473,143400
1436,6.192199052,0.068548875,0.016149352,0.032298703,143500
1437,6.198670295,0.068587064,0.016132492,0.032264984,143600
1438,6.205145327,0.068625245,0.016115658,0.032231316,143700
1439,6.211624152,0.068663418,0.016098849,0.032197698,143800
1440,6.218106769,0.068701585,0.016082065,0.032164131,143900
1441,6.224593181,0.068739743,0.016065307,0.032130614,144000
1442,6.231083389,0.068777894,0.016048574,0.032097147,144100
1443,6.237577394,0.068816038,0.016031865,0.03206373,144200
1444,6.244075198,0.068854174,0.016015182,0.032030364,144300
1445,6.250576803,0.068892303,0.015998524,0.031997047,144400
1446,6.25708221,0.068930424,0.01598189,0.03196378,144500
1447,6.263591421,0.068968538,0.015965281,0.031930563,144600
1448,6.270104437,0.069006644,0.015948698,0.031897395,144700
1449,6.276621259,0.069044743,0.015932139,0.031864277,144800
1450,6.28314189,0.069082834,0.015915604,0.031831209,144900
1451,6.28966633,0.069120918,0.015899095,0.031798189,145000
1452,6.296194581,0.069158994,0.01588261,0.031765219,145100
1453,6.302726645,0.069197063,0.015866149,0.031732298,145200
1454,6.309262524,0.069235125,0.015849713,0.031699426,145300
1455,6.315802218,0.069273179,0.015833301,0.031666603,145400
1456,6.322345729,0.069311226,0.015816914,0.031633828,145500
1457,6.32889306,0.069349265,0.015800551,0.031601103,145600
1458,6.33544421,0.069387297,0.015784213,0.031568426,145700
1459,6.341999183,0.069425322,0.015767899,0.031535797,145800
1460,6.348557979,0.069463339,0.015751609,0.031503217,145900
1461,6.3551206,0.069501349,0.015735343,0.031470685,146000
1462,6.361687047,0.069539351,0.015719101,0.031438202,146100
1463,6.368257322,0.069577346,0.015702883,0.031405766,146200
1464,6.374831427,0.069615333,0.015686689,0.031373379,146300
1465,6.381409363,0.069653313,0.01567052,0.031341039,146400
1466,6.387991131,0.069691286,0.015654374,0.031308747,146500
1467,6.394576733,0.069729252,0.015638252,0.031276503,146600
1468,6.401166171,0.06976721,0.015622153,0.031244307,146700
1469,6.407759447,0.06980516,0.015606079,0.031212158,146800
1470,6.41435656,0.069843104,0.015590028,0.031180057,146900
1471,6.420957514,0.06988104,0.015574001,0.031148002,147000
1472,6.42756231,0.069918968,0.015557998,0.031115996,147100
1473,6.434170949,0.06995689,0.015542018,0.031084036,147200
1474,6.440783433,0.069994804,0.015526062,0.031052123,147300
1475,6.447399763,0.07003271,0.015510129,0.031020257,147400
1476,6.454019941,0.07007061,0.015494219,0.030988438,147500
1477,6.460643969,0.070108502,0.015478333,0.030956666,147600
1478,6.467271847,0.070146386,0.01546247,0.030924941,147700
1479,6.473903578,0.070184264,0.015446631,0.030893262,147800
1480,6.480539163,0.070222134,0.015430815,0.03086163,147900
1481,6.487178603,0.070259996,0.015415022,0.030830044,148000
1482,6.493821901,0.070297852,0.015399252,0.030798504,148100
