"","location","iso_code","date","new_cases","date_import","import_low","import_upp","total_cases"
"145","Andorra","AND",2022-09-08,0,2022-06-20,NA,NA,4
"146","Andorra","AND",2022-09-09,0,2022-06-20,NA,NA,4
"147","Andorra","AND",2022-09-10,0,2022-06-20,NA,NA,4
"148","Andorra","AND",2022-09-11,0,2022-06-20,NA,NA,4
"149","Andorra","AND",2022-09-12,0,2022-06-20,NA,NA,4
"150","Andorra","AND",2022-09-13,0,2022-06-20,NA,NA,4
"151","Andorra","AND",2022-09-14,0,2022-06-20,NA,NA,4
"152","Andorra","AND",2022-09-15,0,2022-06-20,NA,NA,4
"153","Andorra","AND",2022-09-16,0,2022-06-20,NA,NA,4
"154","Andorra","AND",2022-09-17,0,2022-06-20,NA,NA,4
"155","Andorra","AND",2022-09-18,0,2022-06-20,NA,NA,4
"156","Andorra","AND",2022-09-19,0,2022-06-20,NA,NA,4
"157","Andorra","AND",2022-09-20,0,2022-06-20,NA,NA,4
"158","Andorra","AND",2022-09-21,0,2022-06-20,NA,NA,4
"159","Andorra","AND",2022-09-22,0,2022-06-20,NA,NA,4
"160","Andorra","AND",2022-09-23,0,2022-06-20,NA,NA,4
"161","Andorra","AND",2022-09-24,0,2022-06-20,NA,NA,4
"162","Andorra","AND",2022-09-25,0,2022-06-20,NA,NA,4
"163","Andorra","AND",2022-09-26,0,2022-06-20,NA,NA,4
"164","Andorra","AND",2022-09-27,0,2022-06-20,NA,NA,4
"165","Andorra","AND",2022-09-28,0,2022-06-20,NA,NA,4
"166","Andorra","AND",2022-09-29,0,2022-06-20,NA,NA,4
"167","Andorra","AND",2022-09-30,0,2022-06-20,NA,NA,4
"168","Andorra","AND",2022-10-01,0,2022-06-20,NA,NA,4
"169","Andorra","AND",2022-10-02,0,2022-06-20,NA,NA,4
"170","Argentina","ARG",2022-04-17,0,2022-05-03,NA,NA,0
"171","Argentina","ARG",2022-04-18,0,2022-05-03,NA,NA,0
"172","Argentina","ARG",2022-04-19,0,2022-05-03,NA,NA,0
"173","Argentina","ARG",2022-04-20,0,2022-05-03,NA,NA,0
"174","Argentina","ARG",2022-04-21,0,2022-05-03,NA,NA,0
"175","Argentina","ARG",2022-04-22,0,2022-05-03,NA,NA,0
"176","Argentina","ARG",2022-04-23,0,2022-05-03,NA,NA,0
"177","Argentina","ARG",2022-04-24,0,2022-05-03,NA,NA,0
"178","Argentina","ARG",2022-04-25,0,2022-05-03,NA,NA,0
"179","Argentina","ARG",2022-04-26,0,2022-05-03,NA,NA,0
"180","Argentina","ARG",2022-04-27,0,2022-05-03,NA,NA,0
"181","Argentina","ARG",2022-04-28,0,2022-05-03,NA,NA,0
"182","Argentina","ARG",2022-04-29,0,2022-05-03,NA,NA,0
"183","Argentina","ARG",2022-04-30,0,2022-05-03,NA,NA,0
"184","Argentina","ARG",2022-05-01,0,2022-05-03,NA,NA,0
"185","Argentina","ARG",2022-05-02,0,2022-05-03,NA,NA,0
"186","Argentina","ARG",2022-05-03,1,2022-05-03,NA,NA,1
"187","Argentina","ARG",2022-05-04,0,2022-05-03,NA,NA,1
"188","Argentina","ARG",2022-05-05,0,2022-05-03,NA,NA,1
"189","Argentina","ARG",2022-05-06,0,2022-05-03,NA,NA,1
"190","Argentina","ARG",2022-05-07,0,2022-05-03,NA,NA,1
"191","Argentina","ARG",2022-05-08,0,2022-05-03,NA,NA,1
"192","Argentina","ARG",2022-05-09,0,2022-05-03,NA,NA,1
"193","Argentina","ARG",2022-05-10,0,2022-05-03,NA,NA,1
"194","Argentina","ARG",2022-05-11,0,2022-05-03,NA,NA,1
"195","Argentina","ARG",2022-05-12,0,2022-05-03,NA,NA,1
"196","Argentina","ARG",2022-05-13,0,2022-05-03,NA,NA,1
"197","Argentina","ARG",2022-05-14,0,2022-05-03,NA,NA,1
"198","Argentina","ARG",2022-05-15,1,2022-05-03,NA,NA,2
"199","Argentina","ARG",2022-05-16,0,2022-05-03,NA,NA,2
"200","Argentina","ARG",2022-05-17,0,2022-05-03,NA,NA,2
"201","Argentina","ARG",2022-05-18,0,2022-05-03,NA,NA,2
"202","Argentina","ARG",2022-05-19,0,2022-05-03,NA,NA,2
"203","Argentina","ARG",2022-05-20,0,2022-05-03,NA,NA,2
"204","Argentina","ARG",2022-05-21,0,2022-05-03,NA,NA,2
"205","Argentina","ARG",2022-05-22,0,2022-05-03,NA,NA,2
"206","Argentina","ARG",2022-05-23,0,2022-05-03,NA,NA,2
"207","Argentina","ARG",2022-05-24,0,2022-05-03,NA,NA,2
"208","Argentina","ARG",2022-05-25,0,2022-05-03,NA,NA,2
"209","Argentina","ARG",2022-05-26,1,2022-05-03,NA,NA,3
"210","Argentina","ARG",2022-05-27,0,2022-05-03,NA,NA,3
"211","Argentina","ARG",2022-05-28,0,2022-05-03,NA,NA,3
"212","Argentina","ARG",2022-05-29,0,2022-05-03,NA,NA,3
"213","Argentina","ARG",2022-05-30,0,2022-05-03,NA,NA,3
"214","Argentina","ARG",2022-05-31,1,2022-05-03,NA,NA,4
"215","Argentina","ARG",2022-06-01,0,2022-05-03,NA,NA,4
"216","Argentina","ARG",2022-06-02,0,2022-05-03,NA,NA,4
"217","Argentina","ARG",2022-06-03,0,2022-05-03,NA,NA,4
"218","Argentina","ARG",2022-06-04,0,2022-05-03,NA,NA,4
"219","Argentina","ARG",2022-06-05,0,2022-05-03,NA,NA,4
"220","Argentina","ARG",2022-06-06,0,2022-05-03,NA,NA,4
"221","Argentina","ARG",2022-06-07,0,2022-05-03,NA,NA,4
"222","Argentina","ARG",2022-06-08,0,2022-05-03,NA,NA,4
"223","Argentina","ARG",2022-06-09,0,2022-05-03,NA,NA,4
"224","Argentina","ARG",2022-06-10,0,2022-05-03,NA,NA,4
"225","Argentina","ARG",2022-06-11,0,2022-05-03,NA,NA,4
"226","Argentina","ARG",2022-06-12,0,2022-05-03,NA,NA,4
"227","Argentina","ARG",2022-06-13,0,2022-05-03,NA,NA,4
"228","Argentina","ARG",2022-06-14,0,2022-05-03,NA,NA,4
"229","Argentina","ARG",2022-06-15,1,2022-05-03,NA,NA,5
"230","Argentina","ARG",2022-06-16,0,2022-05-03,NA,NA,5
"231","Argentina","ARG",2022-06-17,0,2022-05-03,NA,NA,5
"232","Argentina","ARG",2022-06-18,0,2022-05-03,NA,NA,5
"233","Argentina","ARG",2022-06-19,1,2022-05-03,NA,NA,6
"234","Argentina","ARG",2022-06-20,0,2022-05-03,NA,NA,6
"235","Argentina","ARG",2022-06-21,2,2022-05-03,NA,NA,8
"236","Argentina","ARG",2022-06-22,0,2022-05-03,NA,NA,8
"237","Argentina","ARG",2022-06-23,1,2022-05-03,NA,NA,9
"238","Argentina","ARG",2022-06-24,0,2022-05-03,NA,NA,9
"239","Argentina","ARG",2022-06-25,0,2022-05-03,NA,NA,9
"240","Argentina","ARG",2022-06-26,0,2022-05-03,NA,NA,9
"241","Argentina","ARG",2022-06-27,1,2022-05-03,NA,NA,10
"242","Argentina","ARG",2022-06-28,0,2022-05-03,NA,NA,10
"243","Argentina","ARG",2022-06-29,0,2022-05-03,NA,NA,10
"244","Argentina","ARG",2022-06-30,0,2022-05-03,NA,NA,10
"245","Argentina","ARG",2022-07-01,1,2022-05-03,NA,NA,11
"246","Argentina","ARG",2022-07-02,0,2022-05-03,NA,NA,11
"247","Argentina","ARG",2022-07-03,2,2022-05-03,NA,NA,13
"248","Argentina","ARG",2022-07-04,1,2022-05-03,NA,NA,14
"249","Argentina","ARG",2022-07-05,0,2022-05-03,NA,NA,14
"250","Argentina","ARG",2022-07-06,1.01428535869646,2022-05-03,NA,NA,15.0142853586965
"251","Argentina","ARG",2022-07-07,2.04826784909096,2022-05-03,NA,NA,17.0625532077874
"252","Argentina","ARG",2022-07-08,1.11976809077234,2022-05-03,NA,NA,18.1823212985598
"253","Argentina","ARG",2022-07-09,1.21263046298526,2022-05-03,NA,NA,19.394951761545
"254","Argentina","ARG",2022-07-10,0.260960666413657,2022-05-03,NA,NA,19.6559124279587
"255","Argentina","ARG",2022-07-11,0.211701693350133,2022-05-03,NA,NA,19.8676141213088
"256","Argentina","ARG",2022-07-12,2.10564685328245,2022-05-03,NA,NA,21.9732609745913
"257","Argentina","ARG",2022-07-13,2.02809733099601,2022-05-03,NA,NA,24.0013583055873
"258","Argentina","ARG",2022-07-14,0,2022-05-03,NA,NA,24.0013583055873
"259","Argentina","ARG",2022-07-15,2,2022-05-03,NA,NA,26.0013583055873
"260","Argentina","ARG",2022-07-16,0,2022-05-03,NA,NA,26.0013583055873
"261","Argentina","ARG",2022-07-17,1,2022-05-03,NA,NA,27.0013583055873
"262","Argentina","ARG",2022-07-18,1,2022-05-03,NA,NA,28.0013583055873
"263","Argentina","ARG",2022-07-19,1,2022-05-03,NA,NA,29.0013583055873
"264","Argentina","ARG",2022-07-20,1,2022-05-03,NA,NA,30.0013583055873
"265","Argentina","ARG",2022-07-21,2,2022-05-03,NA,NA,32.0013583055873
"266","Argentina","ARG",2022-07-22,1,2022-05-03,NA,NA,33.0013583055873
"267","Argentina","ARG",2022-07-23,3,2022-05-03,NA,NA,36.0013583055873
"268","Argentina","ARG",2022-07-24,2.01553332066318,2022-05-03,NA,NA,38.0168916262505
"269","Argentina","ARG",2022-07-25,1.06297935426476,2022-05-03,NA,NA,39.0798709805152
"270","Argentina","ARG",2022-07-26,4.19142408100715,2022-05-03,NA,NA,43.2712950615224
"271","Argentina","ARG",2022-07-27,2.42821737173726,2022-05-03,NA,NA,45.6995124332596
"272","Argentina","ARG",2022-07-28,1.69105766113192,2022-05-03,NA,NA,47.3905700943915
"273","Argentina","ARG",2022-07-29,3.79277302735769,2022-05-03,NA,NA,51.1833431217492
"274","Argentina","ARG",2022-07-30,2.63457640149078,2022-05-03,NA,NA,53.81791952324
"275","Argentina","ARG",2022-07-31,3.3648485680198,2022-05-03,NA,NA,57.1827680912598
"276","Argentina","ARG",2022-08-01,4.21651027878971,2022-05-03,NA,NA,61.3992783700495
"277","Argentina","ARG",2022-08-02,2.2534217664564,2022-05-03,NA,NA,63.6527001365059
"278","Argentina","ARG",2022-08-03,3.38992539057194,2022-05-03,NA,NA,67.0426255270779
"279","Argentina","ARG",2022-08-04,5.48762026265037,2022-05-03,NA,NA,72.5302457897282
"280","Argentina","ARG",2022-08-05,5.43314708546986,2022-05-03,NA,NA,77.9633928751981
"281","Argentina","ARG",2022-08-06,5.26028109988769,2022-05-03,NA,NA,83.2236739750858
"282","Argentina","ARG",2022-08-07,4.10401094523877,2022-05-03,NA,NA,87.3276849203246
"283","Argentina","ARG",2022-08-08,10.0286288803696,2022-05-03,NA,NA,97.3563138006942
"284","Argentina","ARG",2022-08-09,2,2022-05-03,NA,NA,99.3563138006942
"285","Argentina","ARG",2022-08-10,4,2022-05-03,NA,NA,103.356313800694
"286","Argentina","ARG",2022-08-11,7,2022-05-03,NA,NA,110.356313800694
"287","Argentina","ARG",2022-08-12,7.02656786939748,2022-05-03,NA,NA,117.382881670092
