"","location","estimate","MSM_size","region","pop2022","prop"
"138","Malawi",42.6,295.8770965,"Africa",20405.317,0.208769116402357
"139","Malaysia",220,553.1930023,"Asia",33938.221,0.648236688658489
"140","Maldives",NA,8.5377281,"Asia",523.787,NA
"141","Mali",4.1,327.607055,"Africa",22593.59,0.0181467398496653
"142","Malta",NA,NA,"Europe",533.286,NA
"143","Marshall Islands",NA,0.6775747,"Oceania",41.569,NA
"144","Martinique",NA,12.3849859,"Americas",367.507,NA
"145","Mauritania",7.6,68.6740155,"Africa",4736.139,0.160468263283658
"146","Mauritius",NA,18.8423005,"Africa",1299.469,NA
"147","Mauritus",5.5,NA,NA,NA,NA
"148","Mayotte",NA,4.7284645,"Africa",326.101,NA
"149","Mexico",1200,4296.8890125,"Americas",127504.125,0.941146021746355
"150","Micronesia (Federated States of)",NA,NA,"Oceania",NA,NA
"151","Moldova, Republic of",NA,NA,"Europe",NA,NA
"152","Monaco",NA,NA,"Europe",36.469,NA
"153","Mongolia",6.5,55.3933658,"Asia",3398.366,0.191268391927179
"154","Montenegro",NA,NA,"Europe",627.082,NA
"155","Montserrat",NA,0.147943,"Americas",4.39,NA
"156","Morocco",42,382.0713042,"Africa",37457.971,0.112125667458069
"157","Mozambique",15.8,478.058011,"Africa",32969.518,0.0479230542587853
"158","Myanmar",252,883.1226878,"Asia",54179.306,0.46512223689244
"159","Namibia",2.2,37.221674,"Africa",2567.012,0.0857027547981856
"160","Nauru",NA,0.2064884,"Oceania",12.668,NA
"161","Nepal",60.3,497.925554,"Asia",30547.58,0.197396978745943
"162","Netherlands",230,NA,"Europe",17564.014,1.30949565401166
"163","New Caledonia",NA,4.726185,"Oceania",289.95,NA
"164","New Zealand",37.5,84.5201944,"Oceania",5185.288,0.723199945692505
"165","Nicaragua",35.5,234.1608104,"Americas",6948.392,0.510909574474209
"166","Niger",48.9,380.0156665,"Africa",26207.977,0.186584412829727
"167","Nigeria",240,3168.847574,"Africa",218541.212,0.109819103593147
"168","Niue",NA,0.0315242,"Oceania",1.934,NA
"169","Norfolk Island",NA,NA,"Oceania",NA,NA
"170","North Macedomia",11.1,NA,NA,NA,NA
"171","North Macedonia",NA,NA,"Europe",2093.599,NA
"172","Northern Mariana Islands",NA,0.8076813,"Oceania",49.551,NA
"173","Norway",NA,NA,"Europe",5434.319,NA
"174","Oman",NA,46.6782396,"Asia",4576.298,NA
"175","Pakistan",832.2,3843.9452506,"Asia",235824.862,0.352889001160531
"176","Palau",NA,0.2942965,"Oceania",18.055,NA
"177","Palestine, State of",NA,NA,"Asia",NA,NA
"178","Panama",29.6,148.5691797,"Americas",4408.581,0.671417855314442
"179","Papua New Guinea",37.8,165.3246897,"Oceania",10142.619,0.37268480655736
"180","Paraguay",27.7,228.5110728,"Americas",6780.744,0.408509744653389
"181","Peru",260,1147.4711156,"Americas",34049.588,0.763592205579697
"182","Philippines",678.1,1883.6118467,"Asia",115559.009,0.586799770842618
"183","Pitcairn",NA,NA,"Oceania",NA,NA
"184","Poland",NA,840.9857595,"Europe",39857.145,NA
"185","Portugal",NA,NA,"Europe",10270.865,NA
"186","Puerto Rico",NA,109.6061159,"Americas",3252.407,NA
"187","Qatar",NA,27.4902444,"Asia",2695.122,NA
"188","Republic of Moldova",14.6,NA,NA,NA,NA
"189","Romania",10.5,414.8105337,"Europe",19659.267,0.0534099262195279
"190","Russian Federation",NA,NA,"Europe",NA,NA
"191","Rwanda",5,199.762121,"Africa",13776.698,0.0362931669112584
"192","Réunion",NA,NA,"Africa",NA,NA
"193","Saint Barthélemy",NA,NA,"Americas",NA,NA
"194","Saint Helena, Ascension and Tristan da Cunha",NA,NA,"Africa",NA,NA
"195","Saint Kitts and Nevis",NA,1.6060409,"Americas",47.657,NA
"196","Saint Lucia",3,6.0611809,"Americas",179.857,1.66799179348038
"197","Saint Martin (French part)",NA,NA,"Americas",NA,NA
"198","Saint Pierre and Miquelon",NA,NA,"Americas",5.862,NA
"199","Saint Vincent and the Grenadines",0.3,3.5030476,"Americas",103.948,0.28860584138223
"200","Samoa",25,3.6248266,"Oceania",222.382,11.2419170616327
"201","San Marino",NA,NA,"Europe",33.66,NA
"202","Sao Tome and Principe",0.02,3.29701,"Africa",227.38,0.00879584835957428
"203","Saudi Arabia",NA,371.369964,"Asia",36408.82,NA
