"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","MSM_percent","imputed","prop","prop_med"
"101","Northern Europe","Estonia","EST",9,NA,"Europe",1326.062,NA,9,0.678701297526058,0.898969628430091
"102","Northern Europe","Norway","NOR",NA,NA,"Europe",5434.319,NA,48.8528773220059,0.898969628430091,0.898969628430091
"103","Northern Europe","Isle of Man","IMN",NA,NA,"Europe",84.519,NA,0.759800140252829,0.898969628430091,0.898969628430091
"104","Northern Europe","Faroe Islands","FRO",NA,NA,"Europe",53.09,NA,0.477262975733536,0.898969628430091,0.898969628430091
"105","Northern Europe","United Kingdom of Great Britain and Northern Ireland","GBR",NA,NA,"Europe",67508.936,NA,606.884831116308,0.898969628430091,0.898969628430091
"106","Northern Europe","Sweden","SWE",100,NA,"Europe",10549.347,NA,100,0.947925971152527,0.898969628430091
"107","Northern Europe","Ireland","IRL",86.5,NA,"Europe",5023.109,NA,86.5,1.72204107057999,0.898969628430091
"108","Northern Europe","Finland","FIN",NA,NA,"Europe",5540.745,NA,49.8096147387589,0.898969628430091,0.898969628430091
"109","Northern Europe","Guernsey","GGY",NA,NA,"Europe",63.301,NA,0.569056764492532,0.898969628430091,0.898969628430091
"110","Northern Europe","Lithuania","LTU",NA,NA,"Europe",2750.055,NA,24.7221592151231,0.898969628430091,0.898969628430091
"111","Northern Europe","Iceland","ISL",NA,NA,"Europe",372.899,NA,3.35224875471953,0.898969628430091,0.898969628430091
"112","Northern Europe","Jersey","JEY",NA,NA,"Europe",110.778,NA,0.995860574982287,0.898969628430091,0.898969628430091
"113","Polynesia","Tonga","TON",NA,1.7417854,"Oceania",106.858,1.63,1.7417854,1.63,1.63
"114","Polynesia","French Polynesia","PYF",NA,4.9923477,"Oceania",306.279,1.63,4.9923477,1.63,1.63
"115","Polynesia","Samoa","WSM",25,3.6248266,"Oceania",222.382,1.63,3.6248266,1.63,1.63
"116","Polynesia","Tokelau","TKL",NA,0.0304973,"Oceania",1.871,1.63,0.0304973,1.63,1.63
"117","Polynesia","American Samoa","ASM",NA,0.7216499,"Oceania",44.273,1.63,0.7216499,1.63,1.63
"118","Polynesia","Wallis and Futuna","WLF",NA,0.1886236,"Oceania",11.572,1.63,0.1886236,1.63,1.63
"119","Polynesia","Tuvalu","TUV",NA,0.1843856,"Oceania",11.312,1.63,0.1843856,1.63,1.63
