"","sub_region","location","iso_code","estimate","MSM_size","region","pop2022","prop","imputed","prop_avg"
"80","Micronesia","Micronesia (Federated States of)","FSM",NA,NA,"Oceania",114.164,0.0163,1.8608732,0.0163
"81","Micronesia","Guam","GUM",NA,2.7999162,"Oceania",171.774,0.0163,2.7999162,0.0163
"82","Micronesia","Kiribati","KIR",NA,2.1390816,"Oceania",131.232,0.0163,2.1390816,0.0163
"83","Micronesia","Palau","PLW",NA,0.2942965,"Oceania",18.055,0.0163,0.2942965,0.0163
"84","Micronesia","Northern Mariana Islands","MNP",NA,0.8076813,"Oceania",49.551,0.0163,0.8076813,0.0163
"85","Micronesia","Marshall Islands","MHL",NA,0.6775747,"Oceania",41.569,0.0163,0.6775747,0.0163
"86","Micronesia","Nauru","NRU",NA,0.2064884,"Oceania",12.668,0.0163,0.2064884,0.0163
"87","Northern Africa","Morocco","MAR",42,382.0713042,"Africa",37457.971,0.00112125667458069,42,0.0053403885009339
"88","Northern Africa","Tunisia","TUN",28,126.0323934,"Africa",12356.117,0.00226608407803196,28,0.0053403885009339
"89","Northern Africa","Sudan","SDN",132,478.1168808,"Africa",46874.204,0.00281604782024672,132,0.0053403885009339
"90","Northern Africa","Libya","LBY",NA,69.4858782,"Africa",6812.341,0.0102,69.4858782,0.0053403885009339
"91","Northern Africa","Egypt","EGY",64.3,1132.0990506,"Africa",110990.103,0.000579330933677933,64.3,0.0053403885009339
"92","Northern Africa","Algeria","DZA",NA,458.012895,"Africa",44903.225,0.0102,458.012895,0.0053403885009339
"93","Northern Africa","Western Sahara","ESH",NA,5.8750572,"Africa",575.986,0.0102,5.8750572,0.0053403885009339
"94","Northern America","Bermuda","BMU",NA,NA,"Americas",64.184,0.0111993537700254,0.718819322375309,0.0111993537700254
"95","Northern America","United States of America","USA",4500,NA,"Americas",338289.857,0.0133022019634482,4500,0.0111993537700254
"96","Northern America","Saint Pierre and Miquelon","SPM",NA,NA,"Americas",5.862,0.0111993537700254,0.0656506117998888,0.0111993537700254
"97","Northern America","Canada","CAN",349.8,NA,"Americas",38454.327,0.0090965055766026,349.8,0.0111993537700254
"98","Northern America","Greenland","GRL",NA,NA,"Americas",56.466,0.0111993537700254,0.632382709978253,0.0111993537700254
"99","Northern Europe","Latvia","LVA",NA,NA,"Europe",1850.651,0.0104967040624156,19.4257358698135,0.0104967040624156
"100","Northern Europe","Denmark","DNK",50,NA,"Europe",5882.261,0.00850013285707656,50,0.0104967040624156
"101","Northern Europe","Estonia","EST",9,NA,"Europe",1326.062,0.00678701297526058,9,0.0104967040624156
"102","Northern Europe","Norway","NOR",NA,NA,"Europe",5434.319,0.0104967040624156,57.0424383237622,0.0104967040624156
"103","Northern Europe","Isle of Man","IMN",NA,NA,"Europe",84.519,0.0104967040624156,0.887170930651303,0.0104967040624156
"104","Northern Europe","Faroe Islands","FRO",NA,NA,"Europe",53.09,0.0104967040624156,0.557270018673643,0.0104967040624156
"105","Northern Europe","United Kingdom of Great Britain and Northern Ireland","GBR",NA,NA,"Europe",67508.936,0.0104967040624156,708.621322760554,0.0104967040624156
"106","Northern Europe","Sweden","SWE",100,NA,"Europe",10549.347,0.00947925971152527,100,0.0104967040624156
"107","Northern Europe","Ireland","IRL",86.5,NA,"Europe",5023.109,0.0172204107057999,86.5,0.0104967040624156
"108","Northern Europe","Finland","FIN",NA,NA,"Europe",5540.745,0.0104967040624156,58.1595605503088,0.0104967040624156
"109","Northern Europe","Guernsey","GGY",NA,NA,"Europe",63.301,0.0104967040624156,0.664451863854969,0.0104967040624156
"110","Northern Europe","Lithuania","LTU",NA,NA,"Europe",2750.055,0.0104967040624156,28.8665134903663,0.0104967040624156
"111","Northern Europe","Iceland","ISL",NA,NA,"Europe",372.899,0.0104967040624156,3.91421044817071,0.0104967040624156
"112","Northern Europe","Jersey","JEY",NA,NA,"Europe",110.778,0.0104967040624156,1.16280388262627,0.0104967040624156
"113","Polynesia","Tonga","TON",NA,1.7417854,"Oceania",106.858,0.0163,1.7417854,0.0269799078462585
"114","Polynesia","French Polynesia","PYF",NA,4.9923477,"Oceania",306.279,0.0163,4.9923477,0.0269799078462585
"115","Polynesia","Samoa","WSM",25,3.6248266,"Oceania",222.382,0.0163,3.6248266,0.0269799078462585
"116","Polynesia","Tokelau","TKL",NA,0.0304973,"Oceania",1.871,0.0163,0.0304973,0.0269799078462585
"117","Polynesia","American Samoa","ASM",NA,0.7216499,"Oceania",44.273,0.0163,0.7216499,0.0269799078462585
"118","Polynesia","Wallis and Futuna","WLF",NA,0.1886236,"Oceania",11.572,0.0163,0.1886236,0.0269799078462585
"119","Polynesia","Tuvalu","TUV",NA,0.1843856,"Oceania",11.312,0.0163,0.1843856,0.0269799078462585
"120","Polynesia","Cook Islands","COK",NA,0.2772793,"Oceania",17.011,0.0163,0.2772793,0.0269799078462585
"121","Polynesia","Niue","NIU",NA,0.0315242,"Oceania",1.934,0.0163,0.0315242,0.0269799078462585
"122","South-eastern Asia","Philippines","PHL",678.1,1883.6118467,"Asia",115559.009,0.00586799770842618,678.1,0.00654206084599243
"123","South-eastern Asia","Cambodia","KHM",88,273.3158246,"Asia",16767.842,0.00524814105476423,88,0.00654206084599243
"124","South-eastern Asia","Indonesia","IDN",754.3,4490.6718257,"Asia",275501.339,0.00273791772750694,754.3,0.00654206084599243
"125","South-eastern Asia","Thailand","THA",527.9,1168.661589,"Asia",71697.03,0.00736292702780018,527.9,0.00654206084599243
"126","South-eastern Asia","Brunei Darussalam","BRN",NA,NA,"Asia",449.002,0.00654206084599243,2.93739840397229,0.00654206084599243
"127","South-eastern Asia","Viet Nam","VNM",256,NA,"Asia",98186.856,0.00260727362530072,256,0.00654206084599243
"128","South-eastern Asia","Malaysia","MYS",220,553.1930023,"Asia",33938.221,0.00648236688658489,220,0.00654206084599243
"129","South-eastern Asia","Singapore","SGP",NA,97.4037307,"Asia",5975.689,0.0163,97.4037307,0.00654206084599243
"130","South-eastern Asia","Myanmar","MMR",252,883.1226878,"Asia",54179.306,0.0046512223689244,252,0.00654206084599243
"131","South-eastern Asia","Lao People's Democratic Republic","LAO",57.8,NA,"Asia",7529.475,0.00767649802941108,57.8,0.00654206084599243
"132","South-eastern Asia","Timor-Leste","TLS",8.7,21.8631248,"Asia",1341.296,0.00648626403120564,8.7,0.00654206084599243
"133","Southern Asia","Bangladesh","BGD",101.7,2790.3378636,"Asia",171186.372,0.000594089347252479,101.7,0.00354514436230266
"134","Southern Asia","Maldives","MDV",NA,8.5377281,"Asia",523.787,0.0163,8.5377281,0.00354514436230266
"135","Southern Asia","India","IND",238.2,23099.9227199,"Asia",1417173.173,0.000168081081788866,238.2,0.00354514436230266
"136","Southern Asia","Afghanistan","AFG",10,670.3989673,"Asia",41128.771,0.000243138799357754,10,0.00354514436230266
"137","Southern Asia","Nepal","NPL",60.3,497.925554,"Asia",30547.58,0.00197396978745943,60.3,0.00354514436230266
"138","Southern Asia","Sri Lanka","LKA",73.8,355.8639309,"Asia",21832.143,0.00338033696463054,73.8,0.00354514436230266
"139","Southern Asia","Bhutan","BTN",1.7,12.7540165,"Asia",782.455,0.00217264890632688,1.7,0.00354514436230266
"140","Southern Asia","Iran (Islamic Republic of)","IRN",NA,NA,"Asia",88550.57,0.00354514436230266,313.924554014187,0.00354514436230266
"141","Southern Asia","Pakistan","PAK",832.2,3843.9452506,"Asia",235824.862,0.00352889001160531,832.2,0.00354514436230266
"142","Southern Europe","Malta","MLT",NA,NA,"Europe",533.286,0.00722311222776164,3.8519846274941,0.00722311222776164
"143","Southern Europe","Serbia","SRB",40,NA,"Europe",7221.365,0.00553911898927696,40,0.00722311222776164
"144","Southern Europe","North Macedonia","MKD",11.1,NA,"Europe",2093.599,0.00530187490536631,11.1,0.00722311222776164
"145","Southern Europe","Croatia","HRV",29.5,NA,"Europe",4030.358,0.00731944904149954,29.5,0.00722311222776164
"146","Southern Europe","Andorra","AND",NA,NA,"Europe",79.824,0.00722311222776164,0.576577710468845,0.00722311222776164
"147","Southern Europe","Gibraltar","GIB",NA,NA,"Europe",32.649,0.00722311222776164,0.23582739112419,0.00722311222776164
"148","Southern Europe","Albania","ALB",7.1,NA,"Europe",2842.321,0.00249795853459198,7.1,0.00722311222776164
"149","Southern Europe","Greece","GRC",94,NA,"Europe",10384.971,0.00905154188682857,94,0.00722311222776164
"150","Southern Europe","Italy","ITA",NA,NA,"Europe",59037.474,0.00722311222776164,426.43430034556,0.00722311222776164
"151","Southern Europe","Slovenia","SVN",NA,NA,"Europe",2119.844,0.00722311222776164,15.3118711173472,0.00722311222776164
"152","Southern Europe","Holy See","VAT",NA,NA,"Europe",0.51,0.00722311222776164,0.00368378723615844,0.00722311222776164
"153","Southern Europe","Spain","ESP",890.2,NA,"Europe",47558.63,0.0187179487718633,890.2,0.00722311222776164
"154","Southern Europe","Bosnia and Herzegovina","BIH",6.9,NA,"Europe",3233.526,0.00213389346490488,6.9,0.00722311222776164
"155","Southern Europe","Montenegro","MNE",NA,NA,"Europe",627.082,0.00722311222776164,4.52948366200923,0.00722311222776164
"156","Southern Europe","San Marino","SMR",NA,NA,"Europe",33.66,0.00722311222776164,0.243129957586457,0.00722311222776164
"157","Southern Europe","Portugal","PRT",NA,NA,"Europe",10270.865,0.00722311222776164,74.1876105711891,0.00722311222776164
"158","Sub-Saharan Africa","Gambia","GMB",1.7,39.236884,"Africa",2705.992,0.000628235412373725,1.7,0.00341280873420897
"159","Sub-Saharan Africa","Côte d'Ivoire","CIV",56,NA,"Africa",28160.542,0.00198859808877258,56,0.00341280873420897
"160","Sub-Saharan Africa","Djibouti","DJI",0.9,16.2523105,"Africa",1120.849,0.00080296275412656,0.9,0.00341280873420897
"161","Sub-Saharan Africa","Gabon","GAB",NA,34.640384,"Africa",2388.992,0.0145,34.640384,0.00341280873420897
"162","Sub-Saharan Africa","Burundi","BDI",9.3,186.898852,"Africa",12889.576,0.000721513260017242,9.3,0.00341280873420897
"163","Sub-Saharan Africa","Congo, Democratic Republic of the","COD",194.9,NA,"Africa",99010.212,0.00196848381659864,194.9,0.00341280873420897
"164","Sub-Saharan Africa","Cameroon","CMR",7,404.760772,"Africa",27914.536,0.000250765407671473,7,0.00341280873420897
"165","Sub-Saharan Africa","Guinea","GIN",0.8,200.9604445,"Africa",13859.341,5.77228022602229e-05,0.8,0.00341280873420897
"166","Sub-Saharan Africa","Congo","COG",1.3,NA,"Africa",5970.424,0.000217739979606139,1.3,0.00341280873420897
"167","Sub-Saharan Africa","Zambia","ZMB",6.5,290.2562875,"Africa",20017.675,0.000324713034855447,6.5,0.00341280873420897
"168","Sub-Saharan Africa","Mali","MLI",4.1,327.607055,"Africa",22593.59,0.000181467398496653,4.1,0.00341280873420897
"169","Sub-Saharan Africa","Ethiopia","ETH",NA,1789.008898,"Africa",123379.924,0.0145,1789.008898,0.00341280873420897
"170","Sub-Saharan Africa","Equatorial Guinea","GNQ",NA,24.286166,"Africa",1674.908,0.0145,24.286166,0.00341280873420897
"171","Sub-Saharan Africa","Rwanda","RWA",5,199.762121,"Africa",13776.698,0.000362931669112584,5,0.00341280873420897
"172","Sub-Saharan Africa","Mauritania","MRT",7.6,68.6740155,"Africa",4736.139,0.00160468263283658,7.6,0.00341280873420897
"173","Sub-Saharan Africa","Mauritius","MUS",5.5,18.8423005,"Africa",1299.469,0.00423249804343159,5.5,0.00341280873420897
"174","Sub-Saharan Africa","Mayotte","MYT",NA,4.7284645,"Africa",326.101,0.0145,4.7284645,0.00341280873420897
"175","Sub-Saharan Africa","Kenya","KEN",32.6,783.3985615,"Africa",54027.487,0.000603396563678781,32.6,0.00341280873420897
"176","Sub-Saharan Africa","Cabo Verde","CPV",NA,NA,"Africa",593.149,0.00341280873420897,2.02430408788731,0.00341280873420897
"177","Sub-Saharan Africa","Seychelles","SYC",0.2,1.553211,"Africa",107.118,0.00186709983382811,0.2,0.00341280873420897
"178","Sub-Saharan Africa","Niger","NER",48.9,380.0156665,"Africa",26207.977,0.00186584412829727,48.9,0.00341280873420897
"179","Sub-Saharan Africa","Nigeria","NGA",240,3168.847574,"Africa",218541.212,0.00109819103593147,240,0.00341280873420897
