,sub_region,location,iso_code,region,pop2022,MSM_size,prop,prop_avg,imputation
187,Sub-Saharan Africa,Liberia,LBR,Africa,5302.681,74.6,1.406835523,0.341280873,0
188,Sub-Saharan Africa,South Africa,ZAF,Africa,59893.885,309.7,0.517081168,0.341280873,0
189,Sub-Saharan Africa,Burkina Faso,BFA,Africa,22673.762,3.5,0.015436344,0.341280873,0
190,Sub-Saharan Africa,Kenya,KEN,Africa,54027.487,32.6,0.060339656,0.341280873,0
191,Sub-Saharan Africa,Cabo Verde,CPV,Africa,593.149,2.024304088,0.341280873,0.341280873,1
192,Sub-Saharan Africa,Seychelles,SYC,Africa,107.118,0.2,0.186709983,0.341280873,0
193,Sub-Saharan Africa,Sierra Leone,SLE,Africa,8605.718,3.2,0.037184579,0.341280873,0
194,Sub-Saharan Africa,"Tanzania, United Republic of",TZA,Africa,65497.748,49.7,0.075880471,0.341280873,0
195,Sub-Saharan Africa,Eritrea,ERI,Africa,3684.032,53.418464,1.45,0.341280873,1
196,Sub-Saharan Africa,Somalia,SOM,Africa,17597.511,255.1639095,1.45,0.341280873,1
197,Sub-Saharan Africa,Côte d'Ivoire,CIV,Africa,28160.542,56,0.198859809,0.341280873,0
198,Sub-Saharan Africa,Zimbabwe,ZWE,Africa,16320.537,23,0.140926735,0.341280873,0
199,Sub-Saharan Africa,Lesotho,LSO,Africa,2305.825,6.1,0.264547396,0.341280873,0
200,Sub-Saharan Africa,Rwanda,RWA,Africa,13776.698,5,0.036293167,0.341280873,0
201,Sub-Saharan Africa,South Sudan,SSD,Africa,10913.164,158.240878,1.45,0.341280873,1
202,Sub-Saharan Africa,Mozambique,MOZ,Africa,32969.518,15.8,0.047923054,0.341280873,0
203,Sub-Saharan Africa,Benin,BEN,Africa,13352.864,5.8,0.043436374,0.341280873,0
204,Sub-Saharan Africa,Senegal,SEN,Africa,17316.449,52.5,0.303179942,0.341280873,0
205,Sub-Saharan Africa,Eswatini,SWZ,Africa,1201.67,4,0.332870089,0.341280873,0
206,Sub-Saharan Africa,Uganda,UGA,Africa,47249.585,24.1,0.051005739,0.341280873,0
207,Sub-Saharan Africa,Ghana,GHA,Africa,33475.87,54.8,0.163700002,0.341280873,0
208,Western Asia,Saudi Arabia,SAU,Asia,36408.82,371.369964,1.02,0.778679701,1
209,Western Asia,Yemen,YEM,Asia,33696.614,44,0.130576918,0.778679701,0
210,Western Asia,Cyprus,CYP,Asia,1251.488,12.7651776,1.02,0.778679701,1
211,Western Asia,Bahrain,BHR,Asia,1472.233,15.0167766,1.02,0.778679701,1
212,Western Asia,Azerbaijan,AZE,Asia,10358.074,23.9,0.230737877,0.778679701,0
213,Western Asia,Turkey,TUR,Asia,85341.241,870.4806582,1.02,0.778679701,1
214,Western Asia,Jordan,JOR,Asia,11285.869,115.1158638,1.02,0.778679701,1
215,Western Asia,United Arab Emirates,ARE,Asia,9441.129,96.2995158,1.02,0.778679701,1
216,Western Asia,Lebanon,LBN,Asia,5489.739,16.5,0.300560737,0.778679701,0
217,Western Asia,Oman,OMN,Asia,4576.298,46.6782396,1.02,0.778679701,1
218,Western Asia,Kuwait,KWT,Asia,4268.873,43.5425046,1.02,0.778679701,1
219,Western Asia,"Palestine, State of",PSE,Asia,5250.072,40.88124496,0.778679701,0.778679701,1
220,Western Asia,Syrian Arab Republic,SYR,Asia,22125.249,10,0.045197231,0.778679701,0
221,Western Asia,Georgia,GEO,Asia,3744.385,18.5,0.494073125,0.778679701,0
222,Western Asia,Israel,ISR,Asia,9038.309,92.1907518,1.02,0.778679701,1
223,Western Asia,Iraq,IRQ,Asia,44496.122,453.8604444,1.02,0.778679701,1
224,Western Asia,Armenia,ARM,Asia,2780.469,22.7,0.81640903,0.778679701,0
225,Western Asia,Qatar,QAT,Asia,2695.122,27.4902444,1.02,0.778679701,1
226,Western Europe,Luxembourg,LUX,Europe,647.599,5.885071026,0.908752334,0.908752334,1
227,Western Europe,Monaco,MCO,Europe,36.469,0.331412889,0.908752334,0.908752334,1
228,Western Europe,Austria,AUT,Europe,8939.617,81.23897812,0.908752334,0.908752334,1
229,Western Europe,Switzerland,CHE,Europe,8740.472,80,0.915282378,0.908752334,0
230,Western Europe,Belgium,BEL,Europe,11655.93,105.9235359,0.908752334,0.908752334,1
231,Western Europe,Germany,DEU,Europe,83369.843,750,0.899605868,0.908752334,0
232,Western Europe,Netherlands,NLD,Europe,17564.014,230,1.309495654,0.908752334,0
233,Western Europe,Liechtenstein,LIE,Europe,39.327,0.35738503,0.908752334,0.908752334,1
234,Western Europe,France,FRA,Europe,64626.628,330,0.510625434,0.908752334,0
